Name,primary_business_unit,secondary_business_unit,app_name,app_platform,Suite Timezone,Secure Adobe Analytics Tracking Server,Secure Heartbeat Tracking Server,Production RSID,Dev RSID,MCORGID,Dimensions
Fox News Web,foxnewsmedia,"news
",foxnews.com,web,Suite - EST,smetrics.foxnews.com,foxnews.hb.omtrdc.net,foxnews,foxnewsdev,17FC406C5357BA6E0A490D4D@AdobeOrg,"Pages: Content Level 1 (v1),Page URL (v75),Pages: Content Level 1 (c1),Pages: Content Level 2 (v2),Pages: Content Level 2 (c2),Pages: Content Level 3 (v3),Pages: Content Level 3 (c3),Pages: Content Level 4 (v4),Pages: Content Level 4 (c4),Internal Search Term (v9),Detail Content: ID (v11),Detail Content: ID (c11),Detail Content: Name (v12),Detail Content: Name (c12),Detail Content: Type (v13),Detail Content: Type (c13),Detail Content: Author (v14),Detail Content: Author (c14),Detail Content: Source (v15),Detail Content: Source (c15),Detail Content: Source (v16),Internal Campaign Code (v17),Language (v19),Share: Name (v29),Share: Name/ID (c29),Share: Format (v30),Share: Format (c30),Show: ID (v31),Show: ID (c31),Show: Name (v32),Show: Name (c32),Show: Category Tags (v33),Show: Category Tags (c33),Show: Personality (v34),Show: Personality (c34)"
Fox News iOS,foxnewsmedia,"news
",fox news,ios,Suite - EST,smetrics.foxnews.com,foxnews.hb.omtrdc.net,foxnewsmobileappprodv2,foxnewsmobileappdevv2,17FC406C5357BA6E0A490D4D@AdobeOrg,"Pages: Content Level 1 (v1),Pages: Content Level 1 (c1),Pages: Content Level 2 (v2),Pages: Content Level 2 (c2),Pages: Content Level 3 (v3),Pages: Content Level 3 (c3),Pages: Content Level 4 (v4),Pages: Content Level 4 (c4),Internal Search Term (v9),Detail Content: ID (v11),Detail Content: ID (c11),Detail Content: Name (v12),Detail Content: Name (c12),Detail Content: Type (v13),Detail Content: Type (c13),Detail Content: Author (v14),Detail Content: Author (c14),Detail Content: Source (v15),Detail Content: Source (c15),Detail Content: Source (v16),Internal Campaign Code (v17),Language (v19),Share: Name (v29),Share: Name/ID (c29),Share: Format (v30),Share: Format (c30),Show: ID (v31),Show: ID (c31),Show: Name (v32),Show: Name (c32),Show: Category Tags (v33),Show: Category Tags (c33),Show: Personality (v34),Show: Personality (c34)"
Fox News Android,foxnewsmedia,"news
",fox news,android,Suite - EST,smetrics.foxnews.com,foxnews.hb.omtrdc.net,foxnewsmobileappprodv2,foxnewsmobileappdevv2,17FC406C5357BA6E0A490D4D@AdobeOrg,"Pages: Content Level 1 (v1),Pages: Content Level 1 (c1),Pages: Content Level 2 (v2),Pages: Content Level 2 (c2),Pages: Content Level 3 (v3),Pages: Content Level 3 (c3),Pages: Content Level 4 (v4),Pages: Content Level 4 (c4),Internal Search Term (v9),Detail Content: ID (v11),Detail Content: ID (c11),Detail Content: Name (v12),Detail Content: Name (c12),Detail Content: Type (v13),Detail Content: Type (c13),Detail Content: Author (v14),Detail Content: Author (c14),Detail Content: Source (v15),Detail Content: Source (c15),Detail Content: Source (v16),Internal Campaign Code (v17),Language (v19),Share: Name (v29),Share: Name/ID (c29),Share: Format (v30),Share: Format (c30),Show: ID (v31),Show: ID (c31),Show: Name (v32),Show: Name (c32),Show: Category Tags (v33),Show: Category Tags (c33),Show: Personality (v34),Show: Personality (c34)"
Fox News tvOS,foxnewsmedia,"news
",fox news,tvos,Suite - EST,smetrics.foxnews.com,foxnews.hb.omtrdc.net,foxnewsglobalproduction,foxnewsglobalstagingtest,17FC406C5357BA6E0A490D4D@AdobeOrg,"Pages: Content Level 1 (v1),Pages: Content Level 1 (c1),Pages: Content Level 2 (v2),Pages: Content Level 2 (c2),Pages: Content Level 3 (v3),Pages: Content Level 3 (c3),Pages: Content Level 4 (v4),Pages: Content Level 4 (c4),Internal Search Term (v9),Detail Content: ID (v11),Detail Content: ID (c11),Detail Content: Name (v12),Detail Content: Name (c12),Detail Content: Type (v13),Detail Content: Type (c13),Detail Content: Author (v14),Detail Content: Author (c14),Detail Content: Source (v15),Detail Content: Source (c15),Detail Content: Source (v16),Internal Campaign Code (v17),Language (v19),Share: Name (v29),Share: Name/ID (c29),Share: Format (v30),Share: Format (c30),Show: ID (v31),Show: ID (c31),Show: Name (v32),Show: Name (c32),Show: Category Tags (v33),Show: Category Tags (c33),Show: Personality (v34),Show: Personality (c34)"
Fox News Roku,foxnewsmedia,"news
",fox news,roku,Suite - EST,smetrics.foxnews.com,foxnews.hb.omtrdc.net,foxnewsglobalproduction,foxnewsglobalstagingtest,17FC406C5357BA6E0A490D4D@AdobeOrg,"Pages: Content Level 1 (v1),Pages: Content Level 1 (c1),Pages: Content Level 2 (v2),Pages: Content Level 2 (c2),Pages: Content Level 3 (v3),Pages: Content Level 3 (c3),Pages: Content Level 4 (v4),Pages: Content Level 4 (c4),Internal Search Term (v9),Detail Content: ID (v11),Detail Content: ID (c11),Detail Content: Name (v12),Detail Content: Name (c12),Detail Content: Type (v13),Detail Content: Type (c13),Detail Content: Author (v14),Detail Content: Author (c14),Detail Content: Source (v15),Detail Content: Source (c15),Detail Content: Source (v16),Internal Campaign Code (v17),Language (v19),Share: Name (v29),Share: Name/ID (c29),Share: Format (v30),Share: Format (c30),Show: ID (v31),Show: ID (c31),Show: Name (v32),Show: Name (c32),Show: Category Tags (v33),Show: Category Tags (c33),Show: Personality (v34),Show: Personality (c34)"
Fox News Xbox,foxnewsmedia,"news
",fox news,xbox,Suite - EST,smetrics.foxnews.com,foxnews.hb.omtrdc.net,foxnewsglobalproduction,foxnewsglobalstagingtest,17FC406C5357BA6E0A490D4D@AdobeOrg,"Pages: Content Level 1 (v1),Pages: Content Level 1 (c1),Pages: Content Level 2 (v2),Pages: Content Level 2 (c2),Pages: Content Level 3 (v3),Pages: Content Level 3 (c3),Pages: Content Level 4 (v4),Pages: Content Level 4 (c4),Internal Search Term (v9),Detail Content: ID (v11),Detail Content: ID (c11),Detail Content: Name (v12),Detail Content: Name (c12),Detail Content: Type (v13),Detail Content: Type (c13),Detail Content: Author (v14),Detail Content: Author (c14),Detail Content: Source (v15),Detail Content: Source (c15),Detail Content: Source (v16),Internal Campaign Code (v17),Language (v19),Share: Name (v29),Share: Name/ID (c29),Share: Format (v30),Share: Format (c30),Show: ID (v31),Show: ID (c31),Show: Name (v32),Show: Name (c32),Show: Category Tags (v33),Show: Category Tags (c33),Show: Personality (v34),Show: Personality (c34)"
Fox News Fire TV,foxnewsmedia,"news
",fox news,fire tv,Suite - EST,smetrics.foxnews.com,foxnews.hb.omtrdc.net,foxnewsglobalproduction,foxnewsglobalstagingtest,17FC406C5357BA6E0A490D4D@AdobeOrg,"Pages: Content Level 1 (v1),Pages: Content Level 1 (c1),Pages: Content Level 2 (v2),Pages: Content Level 2 (c2),Pages: Content Level 3 (v3),Pages: Content Level 3 (c3),Pages: Content Level 4 (v4),Pages: Content Level 4 (c4),Internal Search Term (v9),Detail Content: ID (v11),Detail Content: ID (c11),Detail Content: Name (v12),Detail Content: Name (c12),Detail Content: Type (v13),Detail Content: Type (c13),Detail Content: Author (v14),Detail Content: Author (c14),Detail Content: Source (v15),Detail Content: Source (c15),Detail Content: Source (v16),Internal Campaign Code (v17),Language (v19),Share: Name (v29),Share: Name/ID (c29),Share: Format (v30),Share: Format (c30),Show: ID (v31),Show: ID (c31),Show: Name (v32),Show: Name (c32),Show: Category Tags (v33),Show: Category Tags (c33),Show: Personality (v34),Show: Personality (c34)"
Fox News Android TV,foxnewsmedia,"news
",fox news,android tv,Suite - EST,smetrics.foxnews.com,foxnews.hb.omtrdc.net,foxnewsglobalproduction,foxnewsglobalstagingtest,17FC406C5357BA6E0A490D4D@AdobeOrg,"Pages: Content Level 1 (v1),Pages: Content Level 1 (c1),Pages: Content Level 2 (v2),Pages: Content Level 2 (c2),Pages: Content Level 3 (v3),Pages: Content Level 3 (c3),Pages: Content Level 4 (v4),Pages: Content Level 4 (c4),Internal Search Term (v9),Detail Content: ID (v11),Detail Content: ID (c11),Detail Content: Name (v12),Detail Content: Name (c12),Detail Content: Type (v13),Detail Content: Type (c13),Detail Content: Author (v14),Detail Content: Author (c14),Detail Content: Source (v15),Detail Content: Source (c15),Detail Content: Source (v16),Internal Campaign Code (v17),Language (v19),Share: Name (v29),Share: Name/ID (c29),Share: Format (v30),Share: Format (c30),Show: ID (v31),Show: ID (c31),Show: Name (v32),Show: Name (c32),Show: Category Tags (v33),Show: Category Tags (c33),Show: Personality (v34),Show: Personality (c34)"
Fox News Samsung TV,foxnewsmedia,"news
",fox news,samsung tv,Suite - EST,smetrics.foxnews.com,foxnews.hb.omtrdc.net,foxnewsglobalproduction,foxnewsglobalstagingtest,17FC406C5357BA6E0A490D4D@AdobeOrg,"Pages: Content Level 1 (v1),Pages: Content Level 1 (c1),Pages: Content Level 2 (v2),Pages: Content Level 2 (c2),Pages: Content Level 3 (v3),Pages: Content Level 3 (c3),Pages: Content Level 4 (v4),Pages: Content Level 4 (c4),Internal Search Term (v9),Detail Content: ID (v11),Detail Content: ID (c11),Detail Content: Name (v12),Detail Content: Name (c12),Detail Content: Type (v13),Detail Content: Type (c13),Detail Content: Author (v14),Detail Content: Author (c14),Detail Content: Source (v15),Detail Content: Source (c15),Detail Content: Source (v16),Internal Campaign Code (v17),Language (v19),Share: Name (v29),Share: Name/ID (c29),Share: Format (v30),Share: Format (c30),Show: ID (v31),Show: ID (c31),Show: Name (v32),Show: Name (c32),Show: Category Tags (v33),Show: Category Tags (c33),Show: Personality (v34),Show: Personality (c34)"
Fox News Vizio,foxnewsmedia,"news
",fox news,vizio,Suite - EST,smetrics.foxnews.com,foxnews.hb.omtrdc.net,foxnewsglobalproduction,foxnewsglobalstagingtest,17FC406C5357BA6E0A490D4D@AdobeOrg,"Pages: Content Level 1 (v1),Pages: Content Level 1 (c1),Pages: Content Level 2 (v2),Pages: Content Level 2 (c2),Pages: Content Level 3 (v3),Pages: Content Level 3 (c3),Pages: Content Level 4 (v4),Pages: Content Level 4 (c4),Internal Search Term (v9),Detail Content: ID (v11),Detail Content: ID (c11),Detail Content: Name (v12),Detail Content: Name (c12),Detail Content: Type (v13),Detail Content: Type (c13),Detail Content: Author (v14),Detail Content: Author (c14),Detail Content: Source (v15),Detail Content: Source (c15),Detail Content: Source (v16),Internal Campaign Code (v17),Language (v19),Share: Name (v29),Share: Name/ID (c29),Share: Format (v30),Share: Format (c30),Show: ID (v31),Show: ID (c31),Show: Name (v32),Show: Name (c32),Show: Category Tags (v33),Show: Category Tags (c33),Show: Personality (v34),Show: Personality (c34)"
